number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.353692 nan 111.432296 111.785783 111.738940 110.957196 111.501591 1532.984901 112.596690 128.997473 nan
2 56.209104 nan 56.472981 64.450921 55.708322 56.639664 56.276687 813.421215 57.148705 64.341385 nan
4 29.247100 nan 29.071551 31.950367 27.889319 29.768920 29.793249 399.084871 29.836293 32.858006 nan
8 15.440494 nan 15.469448 16.104959 13.901911 16.595581 16.652812 213.951005 15.750632 16.016876 nan
16 8.586259 nan 9.601707 9.280373 7.022227 10.528454 10.595306 117.300044 8.805942 9.230838 nan
32 6.437988 nan 7.178302 5.879897 6.540426 8.891156 7.778384 64.959075 5.914290 5.832682 nan
64 7.074366 nan 8.257719 4.024084 7.474145 9.802199 8.686334 40.950137 4.358232 3.934606 nan
128 7.726644 nan 7.192593 3.308973 5.635607 11.067955 7.250645 16.974382 4.032216 3.302220 nan
256 8.960585 nan 5.621160 4.172023 4.574875 11.085186 6.923335 12.645847 4.012588 3.017206 nan
512 9.384520 nan 5.592155 5.202849 3.962363 11.640260 6.677230 8.816442 4.669858 2.960674 nan
1024 10.274053 nan 5.939742 5.137577 4.379159 12.402393 6.825241 7.052041 5.044908 3.165619 nan
2048 17.916327 nan 6.072309 5.334779 4.550375 23.133668 7.054354 6.566894 9.922239 3.258699 nan
4096 29.470817 nan 8.119502 5.790424 4.962083 33.508932 12.633459 7.321903 24.709144 3.676787 nan
8192 34.107612 nan 11.094351 6.236515 5.137674 38.841469 15.078173 9.156460 32.349282 3.716046 nan
16384 38.082892 nan 13.482880 6.730017 6.068197 43.045925 19.178884 10.340834 35.168867 4.728178 nan
32768 41.329005 nan 14.382316 7.738413 7.460573 46.802777 19.134464 10.496555 38.423843 6.284950 nan
65536 45.388065 nan 15.460357 8.694592 8.227968 49.475252 19.579004 10.833071 41.139463 6.811192 nan
131072 47.783585 nan 16.282306 9.456419 9.039914 52.944991 20.282666 11.748706 44.084674 7.600961 nan
262144 50.713773 nan 17.219965 10.505239 9.962631 55.976187 20.822324 12.038617 45.647119 8.162174 nan
524288 54.044695 nan 18.553387 11.956529 11.277897 59.390942 22.087967 12.405407 48.165174 8.800797 nan
1048576 57.386465 nan 18.429791 12.687793 11.783788 62.830943 22.068564 12.521348 50.711892 9.319447 nan
2097152 60.644153 nan 20.044062 13.338214 11.527009 66.271626 22.638304 13.112719 53.621422 9.826008 nan
4194304 63.836202 nan 19.831772 14.257387 13.254585 70.053886 23.069279 13.337530 55.255422 10.720138 nan
