number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.695496 nan 112.038856 112.908738 111.220779 111.425734 111.880857 1520.131818 111.771910 128.970017 nan
2 57.046503 nan 56.611026 64.426185 55.643637 57.255499 57.425483 792.395469 57.349124 64.262135 nan
4 29.577866 nan 29.523237 32.012945 27.845785 30.315935 30.418286 392.455164 30.332085 32.116884 nan
8 16.051157 nan 16.464160 16.453805 13.930028 17.495908 17.228472 213.099898 17.165848 16.043024 nan
16 9.848680 nan 11.458306 9.307930 6.971721 11.753490 11.831173 116.284298 11.045989 9.249883 nan
32 8.710761 nan 9.551108 5.803099 7.116213 10.995417 7.521950 64.468709 5.063981 5.663829 nan
64 13.335147 nan 8.662580 3.867564 6.705341 16.562697 8.535111 38.915017 3.471136 3.865118 nan
128 4.364993 nan 7.458840 3.257893 4.999804 2.414286 7.337858 16.864762 2.775388 3.240250 nan
256 4.926725 nan 5.969388 3.212641 4.388763 5.935442 6.790548 10.951042 2.665393 4.189494 nan
512 4.680440 nan 5.516324 4.887751 4.056858 5.175321 6.581526 7.877699 2.706194 4.944018 nan
1024 4.404686 nan 5.684427 4.687271 3.891835 4.317964 6.648091 6.500262 2.609776 5.354311 nan
2048 4.367498 nan 5.632004 4.785376 3.999783 4.395471 6.779965 6.505041 2.743297 6.109236 nan
4096 4.699813 nan 5.790670 5.118161 3.956950 4.681604 8.539406 7.179885 2.961968 6.931091 nan
8192 4.773490 nan 7.351079 5.214947 4.027933 4.810124 10.692155 9.077299 3.138453 8.324343 nan
16384 4.964118 nan 8.399907 5.278312 4.208579 4.978738 12.043922 10.265332 3.329959 8.970312 nan
32768 5.172106 nan 9.000824 5.504592 4.690854 5.104329 15.046941 10.482477 3.555828 10.031489 nan
65536 5.302592 nan 9.969424 5.695578 5.033567 5.291946 13.752862 11.001664 3.745232 11.358041 nan
131072 5.620538 nan 9.494110 5.892663 5.449729 5.516497 14.491175 11.700594 3.999069 12.362980 nan
262144 5.856990 nan 10.929189 6.421804 5.894168 5.834456 14.551346 12.056147 4.270056 15.216570 nan
524288 6.316107 nan 12.054687 7.570686 7.183526 6.142153 15.574432 12.269375 4.513012 17.533726 nan
1048576 6.353225 nan 12.184081 7.981054 7.645127 6.293909 15.521650 12.658566 4.796456 21.331789 nan
2097152 6.618003 nan 12.680678 7.814898 7.729868 6.644325 16.163379 13.708552 5.364002 26.517805 nan
4194304 7.150711 nan 13.513521 8.790724 8.095664 7.047467 16.392166 13.673282 5.376339 33.826085 nan
