number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.720413 nan 111.598622 112.071723 111.944133 111.873926 111.527829 1527.617181 111.642033 128.793257 nan
2 56.524781 nan 57.045103 65.054891 55.923331 56.733684 56.156070 809.226143 56.638674 64.184602 nan
4 28.739375 nan 28.438661 31.963065 28.092445 28.349179 28.651966 397.363807 28.713603 32.091135 nan
8 14.710806 nan 14.421650 16.134891 13.930830 14.566811 14.582756 213.158037 14.644200 16.343049 nan
16 7.650973 nan 7.419821 9.506496 6.973672 7.597186 7.674040 119.074592 7.674414 9.312888 nan
32 4.018559 nan 6.025651 5.757870 4.180758 4.179523 6.530314 64.208447 4.881330 5.672230 nan
64 2.290366 nan 7.785450 3.907791 6.979730 2.314771 7.268512 36.761814 3.306267 3.879986 nan
128 2.021739 nan 6.214540 3.255624 5.341228 1.999055 6.046925 17.179516 2.819933 3.246961 nan
256 4.206891 nan 5.005792 3.217954 4.052357 4.664641 6.222158 11.207847 4.106972 2.959136 nan
512 4.034021 nan 4.821982 4.959853 3.565663 4.206247 5.847376 8.491588 3.029407 3.029000 nan
1024 3.742693 nan 5.153024 4.527126 3.712790 4.443847 5.865367 6.642742 3.267998 5.685343 nan
2048 4.116208 nan 4.956852 4.571692 3.791677 4.155504 6.028338 6.993981 3.544646 8.651917 nan
4096 4.171636 nan 5.379257 4.809431 3.826206 4.730955 7.571784 7.264305 3.832972 14.415980 nan
8192 4.419681 nan 6.704760 5.174735 3.898633 4.598064 9.526120 9.104544 4.102353 25.015524 nan
16384 4.525534 nan 8.020792 5.216055 4.163375 5.038507 11.270264 10.550441 4.376324 47.391547 nan
32768 4.732971 nan 8.759535 5.283863 4.581145 4.887985 12.195264 10.556547 4.700458 91.743468 nan
65536 5.058701 nan 9.152985 5.477778 5.067207 5.450908 12.722250 10.942699 5.025674 177.461052 nan
131072 5.230771 nan 9.649523 6.150810 5.466442 5.315268 14.473953 11.822628 5.351199 359.778688 nan
262144 5.602631 nan 10.344169 6.796956 6.207068 5.699591 13.683561 12.113405 5.912750 706.060051 nan
524288 5.795058 nan 11.227927 7.689176 7.222907 5.982369 14.333408 12.361695 6.234409 0 nan
1048576 5.954111 nan 11.723318 8.218226 7.691632 6.286033 14.485340 12.752373 6.547092 0 nan
2097152 6.378474 nan 11.531037 8.210248 8.059091 6.915013 16.038086 13.325247 7.046654 0 nan
4194304 6.844683 nan 12.101706 8.794172 8.591551 7.112679 15.372468 13.395450 7.515930 0 nan
