number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 112.489690 nan 111.701956 112.154935 111.318333 112.025854 111.999818 1568.222475 113.375053 129.000109 nan
2 56.843940 nan 56.566208 64.662193 56.019352 57.016109 56.933783 815.063123 57.766228 64.549363 nan
4 28.931363 nan 28.894000 32.048476 28.399265 29.700037 29.842519 401.836201 29.254495 32.228432 nan
8 15.366518 nan 15.354241 16.594968 14.093118 16.464433 16.846148 218.970961 15.574568 16.020627 nan
16 8.774358 nan 9.549081 9.402090 7.105303 10.731234 10.846618 117.216955 9.230480 9.323544 nan
32 6.372087 nan 8.530562 5.906235 8.841699 8.794733 7.245055 64.794100 5.934191 5.780167 nan
64 7.148076 nan 7.503555 4.021865 6.968135 9.435802 8.781639 32.703130 4.323697 3.945332 nan
128 8.029196 nan 7.030983 3.333136 6.271918 11.174246 7.678116 17.257248 3.898822 3.306799 nan
256 9.583532 nan 5.907251 4.046478 4.181126 12.333375 7.309278 11.026409 4.247816 3.082114 nan
512 9.858559 nan 5.808503 5.415138 4.379210 12.414619 6.964982 8.119139 4.600838 3.107800 nan
1024 10.679104 nan 5.849245 5.189462 4.294328 12.943746 6.796747 6.492463 4.711429 3.076448 nan
2048 17.932427 nan 6.032456 5.372888 4.431855 23.284502 7.177233 7.046945 9.986533 3.208847 nan
4096 28.901066 nan 7.844212 5.754292 4.752498 33.778297 12.748859 7.298783 25.568087 3.288405 nan
8192 34.952446 nan 11.212500 6.107969 5.172309 39.403122 15.786662 9.275611 31.661366 3.514723 nan
16384 39.191778 nan 13.093869 6.638438 6.064077 43.124251 16.923583 10.162787 35.272930 4.637508 nan
32768 42.173370 nan 14.274847 7.726354 7.441089 46.819156 18.455496 10.391501 38.603670 6.037996 nan
65536 45.715516 nan 15.280883 8.613061 8.265318 50.244262 19.137880 10.524443 40.664457 6.711849 nan
131072 48.547122 nan 15.408745 9.256592 8.340916 53.462533 19.963310 11.788223 43.821298 7.292661 nan
262144 51.669764 nan 17.067252 10.357271 9.926165 56.809366 20.644425 11.920034 45.794168 8.107749 nan
524288 55.014279 nan 18.414919 11.945422 11.547222 60.381203 21.921971 12.168732 48.359076 8.604573 nan
1048576 58.161315 nan 18.989446 12.776767 12.247808 63.677374 22.482460 12.479660 50.720431 9.114207 nan
2097152 61.443625 nan 18.867773 13.218086 12.382556 67.382849 22.793530 13.088310 53.197405 9.889621 nan
4194304 65.006155 nan 19.949742 14.206624 13.223794 70.746720 23.362572 13.625201 55.960767 10.350973 nan
