number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 112.292253 nan 111.536405 112.463973 112.872087 111.756578 112.657327 1538.788721 112.999468 128.300155 nan
2 56.432670 nan 56.620411 65.049693 55.676528 56.153767 56.194011 803.179129 57.369037 64.376442 nan
4 28.626104 nan 28.648754 32.828731 28.108230 28.723604 28.742364 411.351369 28.736172 32.001855 nan
8 14.587742 nan 14.502173 16.029149 13.906728 14.497019 14.586155 216.322830 14.688113 15.974000 nan
16 7.433214 nan 7.432310 9.374608 7.036400 7.658973 7.658652 119.381057 7.603192 9.278222 nan
32 3.990285 nan 21.901538 5.807172 21.365178 4.185398 23.409452 64.423648 4.896091 5.669437 nan
64 2.283358 nan 20.215311 3.887708 18.153632 2.310794 15.722835 32.774085 3.498374 3.842990 nan
128 20.616067 nan 10.428712 3.251245 10.481677 19.833773 9.866598 21.380157 2.852465 3.246433 nan
256 16.012615 nan 9.040070 9.209439 9.004621 16.687561 10.255096 16.355095 2.772124 16.772060 nan
512 14.527344 nan 9.287234 9.463427 9.366958 14.670697 9.425787 13.478163 2.780241 37.991232 nan
1024 13.779631 nan 8.289897 8.379953 8.551618 13.794566 8.637487 12.192637 2.798305 71.184317 nan
2048 13.600030 nan 8.403814 8.381815 8.754829 13.323176 8.432961 11.537345 2.986513 141.919355 nan
4096 13.296353 nan 8.811736 8.845289 8.684936 13.071240 8.123354 11.366139 3.233862 310.775016 nan
8192 13.217018 nan 8.886152 8.642987 8.761845 13.040436 9.364288 11.230287 3.484787 624.553712 nan
16384 13.082902 nan 8.339332 8.411921 8.322892 12.932618 9.127694 11.179231 4.054166 1143.330826 nan
32768 13.122542 nan 8.893667 8.788848 9.747431 12.905613 8.113490 11.068814 4.010508 2593.576557 nan
65536 13.178382 nan 8.760780 8.728557 8.688154 13.312233 10.465746 11.131213 4.720471 4712.857623 nan
131072 13.265953 nan 12.302766 12.211707 12.389940 13.274616 12.611356 11.274048 4.675272 11419.178697 nan
262144 13.092843 nan 14.806897 14.971484 14.823302 13.238966 14.203585 11.039161 5.045818 28258.492954 nan
524288 13.056942 nan 15.172394 15.002992 15.319061 13.055230 14.476018 11.025744 5.413412 0 nan
1048576 13.394207 nan 15.432621 15.454295 15.300089 13.162137 13.331285 11.073344 5.782754 0 nan
2097152 15.754659 nan 16.717877 16.766149 17.291316 15.876255 15.918695 11.182081 6.227219 0 nan
4194304 27.761832 nan 20.388266 17.713819 18.964613 22.827915 15.251290 11.256518 6.522082 0 nan
