number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.210997 nan 111.640152 nan 111.337595 111.166870 112.061891 nan 113.307995 nan nan
2 56.678849 nan 56.383133 nan 55.614995 56.556496 56.955440 nan 57.587671 nan nan
4 29.600327 nan 29.238000 nan 27.944073 29.913078 29.519773 nan 29.536090 nan nan
8 15.911618 nan 15.111063 nan 14.041123 16.614990 16.762618 nan 15.388573 nan nan
16 9.908118 nan 9.407229 nan 6.943583 11.544571 11.487524 nan 9.049061 nan nan
32 7.813761 nan 8.330701 nan 6.622122 10.515400 10.823361 nan 6.262260 nan nan
64 9.840374 nan 10.127031 nan 7.174961 12.860326 12.283376 nan 4.617946 nan nan
128 10.612612 nan 7.442471 nan 6.033407 13.220197 11.142627 nan 4.477901 nan nan
256 9.329122 nan 6.572177 nan 6.894058 15.143098 11.128988 nan 4.705765 nan nan
512 10.376885 nan 7.011334 nan 5.000298 15.958490 11.695285 nan 5.300986 nan nan
1024 11.121318 nan 7.424922 nan 5.366563 18.043617 12.099379 nan 5.557630 nan nan
2048 18.141236 nan 7.479503 nan 5.978261 28.701516 12.767171 nan 14.128505 nan nan
4096 29.445619 nan 9.935852 nan 6.099578 39.333322 20.609679 nan 24.102035 nan nan
8192 35.074801 nan 14.395742 nan 7.286648 49.981722 26.525219 nan 33.371438 nan nan
16384 38.716076 nan 15.890884 nan 8.102308 54.623782 29.333573 nan 37.906490 nan nan
32768 42.257198 nan 17.552655 nan 9.560979 58.120439 30.936020 nan 41.400810 nan nan
65536 47.014360 nan 18.916472 nan 10.436212 62.164301 32.375055 nan 43.600078 nan nan
131072 49.701846 nan 19.430188 nan 11.273827 64.395889 33.933274 nan 45.384904 nan nan
262144 52.287943 nan 22.927344 nan 15.699001 66.845678 34.469736 nan 46.995846 nan nan
524288 54.983582 nan 24.472723 nan 16.895460 70.441511 35.053519 nan 48.824810 nan nan
1048576 58.293771 nan 24.565237 nan 16.200592 74.695287 36.108956 nan 50.391395 nan nan
2097152 62.185094 nan 23.978438 nan 17.227329 79.418234 38.455969 nan 53.483936 nan nan
4194304 65.294130 nan 25.680288 nan 16.277395 83.520834 40.327440 nan 56.179315 nan nan
