number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.484817 nan 111.662884 nan 111.511829 111.934882 111.581873 nan 112.873827 nan nan
2 56.834914 nan 56.805951 nan 55.518224 56.935597 57.041856 nan 57.376575 nan nan
4 29.613366 nan 29.864545 nan 28.021639 30.313599 30.349538 nan 29.297698 nan nan
8 16.577326 nan 16.699863 nan 13.895562 17.772466 17.679619 nan 15.704386 nan nan
16 11.523794 nan 11.575040 nan 7.022021 13.271714 13.115977 nan 9.875370 nan nan
32 11.494367 nan 10.026762 nan 7.430914 14.305256 8.883172 nan 5.163132 nan nan
64 19.519504 nan 14.212516 nan 7.188306 21.432466 11.417743 nan 3.734668 nan nan
128 2.773336 nan 7.160829 nan 6.165374 5.521704 11.192699 nan 3.000694 nan nan
256 5.082887 nan 7.554292 nan 5.324959 8.314691 11.112844 nan 3.064162 nan nan
512 4.856424 nan 6.774893 nan 4.780739 7.948881 10.659138 nan 3.058575 nan nan
1024 4.196880 nan 6.967179 nan 5.320614 8.186930 11.001461 nan 3.191046 nan nan
2048 4.370084 nan 7.257688 nan 5.298134 7.990953 11.358987 nan 3.083886 nan nan
4096 4.711734 nan 7.336662 nan 5.335363 8.798182 14.863892 nan 3.278154 nan nan
8192 4.978238 nan 9.578812 nan 5.894529 10.064200 19.196743 nan 3.762340 nan nan
16384 5.059437 nan 11.345716 nan 6.405973 10.603080 20.641695 nan 3.999553 nan nan
32768 5.290931 nan 12.488919 nan 6.810228 10.977252 21.259032 nan 4.256802 nan nan
65536 5.481412 nan 12.921815 nan 7.412462 11.404257 21.956590 nan 4.624206 nan nan
131072 5.728105 nan 14.881751 nan 9.705293 11.763651 21.729476 nan 4.900756 nan nan
262144 6.156103 nan 18.680599 nan 13.404295 12.393367 22.628776 nan 5.335524 nan nan
524288 6.292583 nan 19.989159 nan 13.401535 12.517500 22.827431 nan 5.485164 nan nan
1048576 6.699403 nan 20.817971 nan 16.495845 12.890204 23.470970 nan 5.884905 nan nan
2097152 6.939332 nan 21.830768 nan 16.330567 14.107207 24.301310 nan 6.766432 nan nan
4194304 7.751443 nan 19.804216 nan 14.610014 16.744356 26.582110 nan 7.118429 nan nan
