number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 112.057394 nan 114.316428 nan 111.281500 111.215338 112.296242 nan 113.706005 nan nan
2 57.521091 nan 57.822311 nan 56.012101 56.081883 56.454233 nan 57.706479 nan nan
4 28.746472 nan 29.430604 nan 28.097954 28.485460 29.236877 nan 29.325322 nan nan
8 14.927480 nan 14.678817 nan 13.906648 14.570866 14.677355 nan 14.975849 nan nan
16 7.648931 nan 7.635976 nan 6.994638 7.566725 7.741014 nan 8.213236 nan nan
32 4.329168 nan 7.073403 nan 6.750894 4.318729 6.622440 nan 5.343124 nan nan
64 2.472201 nan 11.490212 nan 6.706544 2.443751 10.967729 nan 3.932364 nan nan
128 3.433959 nan 6.639666 nan 5.883721 2.969620 10.662493 nan 3.615189 nan nan
256 4.125179 nan 5.755376 nan 6.872488 7.268437 10.712739 nan 3.636054 nan nan
512 4.032331 nan 6.057867 nan 4.824012 7.098542 10.361562 nan 4.016854 nan nan
1024 3.675762 nan 6.531977 nan 5.437958 7.224849 10.810410 nan 4.298739 nan nan
2048 3.842456 nan 6.349007 nan 5.152239 7.571596 11.077123 nan 4.274067 nan nan
4096 4.201782 nan 6.602875 nan 5.312653 8.161464 14.214998 nan 4.580908 nan nan
8192 4.361032 nan 8.604799 nan 6.016053 9.278452 17.536588 nan 5.159746 nan nan
16384 4.552692 nan 9.809347 nan 6.086100 9.683425 18.740286 nan 5.494566 nan nan
32768 5.026577 nan 11.689331 nan 6.592813 10.049422 19.824263 nan 5.818890 nan nan
65536 5.035142 nan 11.807282 nan 7.398623 10.565138 20.556692 nan 6.112977 nan nan
131072 5.162598 nan 13.053550 nan 8.607277 10.899635 21.209945 nan 6.443537 nan nan
262144 5.791392 nan 17.181257 nan 13.295738 11.156146 21.197663 nan 6.681729 nan nan
524288 5.985363 nan 17.433751 nan 14.347744 11.690137 21.624574 nan 7.015948 0 nan
1048576 6.126988 nan 18.904724 nan 16.031916 12.292437 22.496025 nan 7.499630 0 nan
2097152 6.317014 nan 19.369271 nan 14.646869 13.393501 22.704019 nan 8.344892 0 nan
4194304 6.928465 nan 17.860923 nan 14.074040 14.774104 26.718044 nan 9.189606 0 nan
