number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 112.039505 nan 112.592523 nan 112.565015 111.095356 111.883204 nan 115.044041 nan nan
2 57.525154 nan 56.647560 nan 55.771670 56.331277 56.966401 nan 57.969985 nan nan
4 29.067299 nan 29.050452 nan 28.099185 29.837686 29.627741 nan 29.716221 nan nan
8 15.600335 nan 15.512379 nan 14.002007 16.749348 17.065340 nan 15.523905 nan nan
16 9.473319 nan 9.742100 nan 6.964781 11.545169 11.651897 nan 9.431256 nan nan
32 7.862325 nan 9.880432 nan 6.296586 9.229906 9.867450 nan 6.100408 nan nan
64 10.524028 nan 10.737720 nan 7.509315 13.192971 12.285362 nan 4.539916 nan nan
128 10.800686 nan 7.507026 nan 6.594985 14.883298 12.060943 nan 4.618570 nan nan
256 10.981669 nan 7.019290 nan 5.304000 16.018440 11.902142 nan 4.506668 nan nan
512 11.286942 nan 7.350258 nan 5.371624 17.362717 11.924465 nan 5.298417 nan nan
1024 11.835085 nan 7.143215 nan 5.514399 18.579070 12.215743 nan 5.713060 nan nan
2048 18.033644 nan 7.660613 nan 5.824233 28.617877 12.824862 nan 13.927730 nan nan
4096 30.065947 nan 9.921578 nan 6.034069 40.142571 20.840759 nan 23.773341 nan nan
8192 35.000764 nan 14.436921 nan 7.551019 50.659469 26.694774 nan 33.723200 nan nan
16384 39.547174 nan 16.300826 nan 8.502402 55.905305 29.384942 nan 37.451569 nan nan
32768 43.132375 nan 16.773141 nan 9.455851 59.512897 31.178200 nan 41.491350 nan nan
65536 51.763172 nan 20.184006 nan 11.502608 63.227126 32.656017 nan 42.704845 nan nan
131072 49.645110 nan 19.711180 nan 11.882572 65.226988 34.086647 nan 45.120833 nan nan
262144 52.490945 nan 24.127536 nan 16.727216 68.140288 34.880891 nan 47.189350 nan nan
524288 55.659338 nan 25.133108 nan 17.707888 71.889631 35.664121 nan 48.537484 nan nan
1048576 59.198587 nan 25.081526 nan 17.533333 75.888617 37.032115 nan 50.850165 nan nan
2097152 62.179329 nan 25.373084 nan 18.299296 80.428198 38.847056 nan 53.699508 nan nan
4194304 65.804670 nan 24.416881 nan 16.882059 84.799231 41.170231 nan 56.830423 nan nan
