number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 116.763361 nan 115.964324 nan 116.403155 115.765830 115.784095 nan 117.573031 nan nan
2 58.842002 nan 59.476944 nan 58.301778 58.451842 58.124490 nan 59.337948 nan nan
4 29.780735 nan 30.063992 nan 28.835584 29.450570 29.415300 nan 30.136806 nan nan
8 15.194015 nan 15.311540 nan 14.410995 14.971179 15.068632 nan 15.431731 nan nan
16 7.905121 nan 8.034204 nan 7.264059 7.824352 7.897886 nan 8.373667 nan nan
32 4.466352 nan 27.835306 nan 28.166675 4.412819 34.224191 nan 5.027080 nan nan
64 2.520072 nan 18.755335 nan 20.410520 2.505389 28.656805 nan 3.466266 nan nan
128 19.318742 nan 16.721540 nan 16.607304 46.206442 25.488895 nan 2.845002 nan nan
256 16.023604 nan 15.494579 nan 15.560459 44.028308 24.528570 nan 3.001797 nan nan
512 14.753010 nan 15.174367 nan 15.237942 42.524934 23.598607 nan 3.043169 nan nan
1024 13.658240 nan 14.752535 nan 14.753549 41.863503 23.556778 nan 3.209948 nan nan
2048 13.343325 nan 19.557982 nan 19.463738 41.618888 23.270507 nan 3.036381 nan nan
4096 13.275765 nan 15.510204 nan 15.471509 38.788769 24.796730 nan 3.215611 nan nan
8192 12.977147 nan 16.723187 nan 16.665225 46.356618 26.581290 nan 3.771775 nan nan
16384 12.951370 nan 18.126627 nan 18.108770 46.012203 23.831109 nan 4.174392 nan nan
32768 12.907915 nan 18.983065 nan 18.178413 46.414949 26.796491 nan 4.546459 nan nan
65536 13.991969 nan 26.947729 nan 30.461178 45.495129 27.365993 nan 5.105270 nan nan
131072 12.862370 nan 38.609863 nan 40.619612 45.260056 29.340725 nan 5.842692 nan nan
262144 13.102696 nan 66.646545 nan 66.119842 44.143454 28.523006 nan 6.443388 nan nan
524288 13.128069 nan 44.651752 nan 44.127967 43.647291 28.582374 nan 6.957420 0 nan
1048576 13.225660 nan 44.509980 nan 42.387731 45.604096 33.336112 nan 7.553246 0 nan
2097152 15.058824 nan 28.790413 nan 31.266829 52.749565 49.597933 nan 8.674194 0 nan
4194304 19.229919 nan 36.248326 nan 37.163239 55.611943 47.834483 nan 9.105805 0 nan
