number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.378987 nan 111.723300 nan 111.160373 112.053337 111.585108 741.301164 111.588470 nan nan
2 56.095613 nan 56.386177 nan 55.818440 57.013318 56.296428 378.933526 57.094578 nan nan
4 28.717105 nan 29.092087 nan 27.762110 28.978194 29.863731 193.690700 29.320196 nan nan
8 15.281124 nan 15.185379 nan 14.019643 16.329266 16.620824 99.326046 15.676352 nan nan
16 9.129132 nan 8.902472 nan 6.971227 10.417497 10.640275 53.834945 9.267396 nan nan
32 6.650419 nan 6.446173 nan 5.141989 8.064900 8.102381 29.209583 5.833808 nan nan
64 7.378356 nan 5.078809 nan 4.285943 9.671386 7.141827 14.732872 4.554452 nan nan
128 8.223569 nan 4.525084 nan 3.218544 10.506537 5.816693 9.416250 4.031199 nan nan
256 8.147929 nan 3.902290 nan 2.746474 10.007231 5.374970 5.267301 3.900195 nan nan
512 8.967729 nan 3.895131 nan 2.240154 11.100941 5.319383 3.643380 4.287708 nan nan
1024 9.856668 nan 3.799572 nan 2.372494 12.273155 5.556121 3.150597 4.706325 nan nan
2048 16.095844 nan 3.962436 nan 2.537421 23.494924 7.916471 2.649224 9.656422 nan nan
4096 27.514091 nan 5.871445 nan 2.566490 32.555023 12.572583 2.848555 24.401436 nan nan
8192 33.811842 nan 8.093651 nan 2.759381 38.096979 14.226925 3.021812 30.937670 nan nan
16384 37.600488 nan 9.342875 nan 2.860279 41.791382 15.135869 3.894315 35.937372 nan nan
32768 41.316015 nan 10.164494 nan 3.182227 45.258328 16.333064 4.554150 37.846889 nan nan
65536 44.892578 nan 10.672084 nan 3.734216 48.799110 16.455921 4.771726 40.852751 nan nan
131072 47.960983 nan 11.613113 nan 4.231455 51.717694 17.005827 4.788366 43.447552 nan nan
262144 50.894250 nan 11.870358 nan 4.557957 55.261771 17.897362 4.974029 45.431090 nan nan
524288 54.236330 nan 12.307359 nan 5.305925 58.650080 18.235255 4.998770 47.847094 nan nan
1048576 57.658872 nan 12.612880 nan 5.465567 62.391328 17.961316 4.988844 49.442797 nan nan
2097152 60.679748 nan 12.705936 nan 5.759895 65.353298 17.926873 5.363473 52.485349 nan nan
4194304 64.183656 nan 12.905347 nan 6.038219 68.423512 18.011330 5.575865 54.823243 nan nan
