number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.157787 nan 111.440658 nan 111.148594 111.878854 111.909132 736.946968 111.635235 nan nan
2 56.573959 nan 56.779554 nan 56.321191 57.145616 57.025594 379.897912 57.389842 nan nan
4 29.467704 nan 29.216682 nan 27.883730 30.545165 30.392017 192.341026 30.100138 nan nan
8 16.161662 nan 15.939210 nan 14.249788 17.407728 17.374559 99.216485 17.079887 nan nan
16 10.067262 nan 10.054833 nan 6.970499 11.675856 11.494960 52.606160 11.330011 nan nan
32 8.668750 nan 7.521666 nan 4.368469 10.767361 8.603662 28.114570 5.146709 nan nan
64 13.879996 nan 6.532027 nan 4.435416 16.536232 7.888247 13.955078 3.486796 nan nan
128 2.449040 nan 5.193764 nan 3.331660 2.199391 5.661771 8.134118 2.735380 nan nan
256 3.894038 nan 4.772166 nan 2.585255 3.966398 5.315153 5.649045 2.472408 nan nan
512 4.085653 nan 4.276729 nan 2.234851 4.203184 5.119364 3.906410 2.660729 nan nan
1024 4.083069 nan 4.241317 nan 2.176454 4.048911 5.201198 3.271315 2.784359 nan nan
2048 3.784015 nan 4.343443 nan 2.351166 3.836623 5.445713 3.903992 2.733113 nan nan
4096 4.073693 nan 4.312876 nan 2.095766 4.155039 7.277685 3.429393 2.902299 nan nan
8192 4.191299 nan 4.602197 nan 2.293728 4.282469 8.583364 3.603290 3.074678 nan nan
16384 4.348214 nan 5.289122 nan 2.208452 4.314754 10.116112 4.572104 3.285296 nan nan
32768 4.600955 nan 6.039134 nan 2.297634 4.447510 10.490527 5.212449 3.492343 nan nan
65536 4.801187 nan 6.312922 nan 2.503527 4.619457 10.619757 5.319712 3.709657 nan nan
131072 4.922997 nan 6.617916 nan 2.746448 4.859948 11.031862 5.411712 3.899222 nan nan
262144 5.148528 nan 6.880014 nan 3.021172 5.100287 11.105855 5.530669 4.132716 nan nan
524288 5.329765 nan 7.137268 nan 3.119574 5.254203 10.945303 5.577344 4.383956 nan nan
1048576 5.711733 nan 7.650352 nan 3.523936 5.409761 11.451612 5.598349 4.611629 nan nan
2097152 5.762591 nan 7.793101 nan 3.757533 5.726549 11.685943 5.911466 4.882964 nan nan
4194304 5.977393 nan 8.214075 nan 3.898374 5.957621 11.997431 6.063637 5.173606 nan nan
