number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.741413 nan 113.151819 nan 111.390473 112.137714 112.158256 731.865911 111.498550 nan nan
2 56.026392 nan 56.332643 nan 55.596581 56.199940 56.294893 380.006666 56.681098 nan nan
4 28.574056 nan 28.693866 nan 27.921523 28.682710 28.666161 193.409987 28.728925 nan nan
8 14.583890 nan 14.546044 nan 14.057792 14.465348 14.526083 99.372969 14.617879 nan nan
16 7.551997 nan 7.565969 nan 6.974905 7.478028 7.486444 52.761617 7.563718 nan nan
32 4.177136 nan 6.033546 nan 5.480273 4.170483 5.076715 28.557140 4.947950 nan nan
64 2.316475 nan 5.100205 nan 4.520194 2.283827 6.239476 16.450891 3.239387 nan nan
128 2.858143 nan 4.213529 nan 3.070746 2.812627 3.950295 8.210561 2.874702 nan nan
256 3.567677 nan 3.096012 nan 2.507883 3.854807 4.366216 6.573739 2.853296 nan nan
512 3.290232 nan 2.922083 nan 2.211904 3.489288 3.991536 3.845582 3.090924 nan nan
1024 3.206305 nan 3.073152 nan 2.174414 3.459407 4.434407 3.282988 3.399044 nan nan
2048 3.496749 nan 2.956264 nan 2.166906 3.607645 4.440728 3.163127 3.688968 nan nan
4096 3.641494 nan 2.875056 nan 2.056223 3.764795 6.436314 3.145555 3.823268 nan nan
8192 3.871321 nan 3.093805 nan 2.085389 3.902628 7.757920 3.634166 4.095798 nan nan
16384 3.964891 nan 3.936122 nan 2.120060 4.193196 8.730953 4.518975 4.415612 nan nan
32768 4.286651 nan 4.603790 nan 2.169773 4.433070 9.584075 5.457022 4.664354 nan nan
65536 4.351392 nan 5.019449 nan 2.374904 4.414485 9.351413 5.332852 4.986608 nan nan
131072 4.554140 nan 5.359308 nan 2.658074 4.643167 9.838881 5.401628 5.298114 nan nan
262144 4.774927 nan 5.416636 nan 2.989012 4.935891 9.969361 5.586924 5.635793 nan nan
524288 5.276385 nan 6.023871 nan 3.279736 5.124380 9.841035 5.620796 6.039811 0 nan
1048576 5.350757 nan 5.961745 nan 3.603137 5.389547 9.893265 5.670790 6.370899 0 nan
2097152 5.463408 nan 6.277645 nan 3.673933 5.786930 10.269809 6.021294 6.735817 0 nan
4194304 5.820928 nan 6.491946 nan 4.117279 5.763905 10.300885 6.132868 7.124762 0 nan
