number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.952245 nan 112.737007 nan 111.552286 112.674467 112.689266 742.277132 111.980581 nan nan
2 56.326644 nan 56.949793 nan 55.750655 56.552882 57.673609 381.254040 57.280766 nan nan
4 29.375388 nan 29.192841 nan 27.956559 29.481703 29.887112 195.249415 29.395201 nan nan
8 15.331547 nan 15.210469 nan 13.975369 16.675308 17.025555 100.279495 15.602825 nan nan
16 8.891670 nan 8.947744 nan 7.073378 10.666674 10.833568 54.294785 8.861077 nan nan
32 6.297813 nan 6.208261 nan 4.137448 8.442831 8.097619 27.406697 5.692503 nan nan
64 7.355343 nan 5.367573 nan 5.056300 9.402123 7.442495 14.250328 4.550444 nan nan
128 7.912290 nan 4.209338 nan 3.633200 10.906238 6.089176 8.162701 4.030306 nan nan
256 8.656881 nan 4.405712 nan 3.176336 11.309077 5.511692 5.191986 4.179128 nan nan
512 9.268909 nan 3.890462 nan 2.431447 11.320324 5.860178 4.024949 4.479908 nan nan
1024 10.125933 nan 3.843104 nan 2.391167 12.707510 5.505609 3.097867 4.855851 nan nan
2048 16.355400 nan 3.905916 nan 2.427474 23.972811 8.083147 2.938483 9.735317 nan nan
4096 27.979575 nan 5.743593 nan 2.552197 32.394265 12.844767 2.711679 24.648964 nan nan
8192 34.482130 nan 8.309108 nan 2.755634 38.483272 14.266894 3.034479 31.719184 nan nan
16384 38.455276 nan 9.528522 nan 2.888761 42.640435 15.179401 3.860533 35.311191 nan nan
32768 42.142437 nan 10.157435 nan 3.198535 46.458584 15.856829 4.493572 38.439365 nan nan
65536 45.961458 nan 10.659770 nan 3.763946 49.675118 16.574466 4.581505 40.941601 nan nan
131072 49.239315 nan 11.542859 nan 4.543017 52.828539 17.151066 4.780374 43.929391 nan nan
262144 52.163174 nan 12.329234 nan 4.744205 56.224625 18.579472 4.996127 45.657660 nan nan
524288 55.418143 nan 12.350553 nan 5.242433 59.208534 18.310215 4.925754 47.730919 nan nan
1048576 58.753042 nan 12.856602 nan 5.693765 62.689811 18.524294 4.966966 50.074744 nan nan
2097152 62.514724 nan 13.019435 nan 6.035180 66.546235 18.223998 5.176430 52.387809 nan nan
4194304 65.209127 nan 13.183082 nan 6.283697 69.574554 18.394162 5.264423 54.752154 nan nan
