number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.790249 nan 112.479757 nan 111.292512 112.859221 111.893580 730.505735 111.517024 nan nan
2 56.189519 nan 57.182371 nan 56.075834 55.952333 56.328943 379.234530 56.763919 nan nan
4 28.565737 nan 28.660138 nan 27.961448 28.735485 28.762548 193.647889 29.438602 nan nan
8 14.649317 nan 14.553228 nan 14.005168 14.584167 14.600029 100.341264 14.656681 nan nan
16 7.516400 nan 7.556595 nan 6.986257 8.182488 7.516741 54.902893 7.700695 nan nan
32 4.177591 nan 8.462875 nan 8.673672 4.220397 9.806434 28.024719 4.932488 nan nan
64 2.319410 nan 6.136554 nan 5.994754 2.272867 7.016888 16.305774 3.488811 nan nan
128 10.562868 nan 5.077615 nan 5.265615 11.468419 4.494329 11.136341 2.804144 nan nan
256 8.475434 nan 2.698415 nan 2.702287 8.940200 3.041852 8.598613 2.585158 nan nan
512 7.605672 nan 2.365295 nan 2.365087 7.674920 2.364773 7.340207 2.651559 nan nan
1024 7.109114 nan 2.206596 nan 2.206973 7.047343 2.269110 6.767914 2.822755 nan nan
2048 6.669975 nan 2.133762 nan 2.128088 6.724133 2.130580 6.482418 2.923531 nan nan
4096 6.535214 nan 2.106054 nan 2.122644 6.574012 2.078167 6.471271 3.160862 nan nan
8192 6.490586 nan 2.199883 nan 2.200575 6.584602 2.137405 6.477947 3.425181 nan nan
16384 6.480043 nan 2.197947 nan 2.196386 6.465479 2.104732 6.365840 3.663892 nan nan
32768 6.439841 nan 2.205876 nan 2.207329 6.529284 2.187753 6.384906 3.930035 nan nan
65536 6.435754 nan 2.304921 nan 2.302144 6.562502 2.231476 6.541879 4.236453 nan nan
131072 6.436838 nan 2.050360 nan 2.048381 6.467481 2.243986 6.325958 4.440540 nan nan
262144 6.429838 nan 2.552041 nan 2.585034 6.456159 2.471056 6.395181 4.716761 nan nan
524288 6.530026 nan 3.747030 nan 3.737814 6.479276 3.507919 6.426646 5.064228 0 nan
1048576 6.480055 nan 3.810310 nan 3.765603 6.493132 3.270224 6.553356 5.360001 0 nan
2097152 6.586198 nan 3.789653 nan 3.630361 6.522415 3.296216 6.465448 5.647008 0 nan
4194304 6.738131 nan 4.148853 nan 4.156303 6.791122 3.535604 6.410591 6.010974 0 nan
