number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.671720 nan 111.375629 nan 111.649851 113.413658 111.940701 nan 113.742345 nan nan
2 56.875606 nan 56.623660 nan 55.889451 57.042545 56.872296 nan 56.916331 nan nan
4 29.120915 nan 29.168318 nan 27.970549 30.547336 30.037401 nan 29.396512 nan nan
8 15.306106 nan 15.748514 nan 13.938581 16.371529 16.634959 nan 15.440315 nan nan
16 9.506647 nan 9.889212 nan 7.309240 10.244142 11.450088 nan 8.996467 nan nan
32 7.912687 nan 7.259794 nan 4.126522 8.320531 7.354263 nan 6.012683 nan nan
64 8.748543 nan 5.735879 nan 4.154006 10.010235 7.006023 nan 4.539231 nan nan
128 9.755383 nan 4.927506 nan 3.296224 10.171046 6.592024 nan 4.272266 nan nan
256 8.857249 nan 5.137799 nan 3.132896 9.968963 6.313691 nan 4.706605 nan nan
512 9.932146 nan 4.250415 nan 2.567958 10.391648 6.231791 nan 4.841094 nan nan
1024 10.812930 nan 4.552253 nan 2.803668 11.612381 6.289844 nan 5.088728 nan nan
2048 15.893878 nan 4.608492 nan 3.045767 23.131849 7.241167 nan 9.896964 nan nan
4096 28.393137 nan 6.299622 nan 3.024179 32.357598 12.935512 nan 23.383540 nan nan
8192 33.855170 nan 8.818054 nan 3.173230 37.834242 15.087652 nan 31.181714 nan nan
16384 37.854870 nan 11.100429 nan 3.717167 41.684691 17.751767 nan 35.303189 nan nan
32768 41.884943 nan 11.860337 nan 4.017000 48.008768 18.921695 nan 40.549088 nan nan
65536 46.830168 nan 12.452621 nan 4.566620 50.815823 19.623549 nan 43.340839 nan nan
131072 48.738079 nan 12.846696 nan 5.058405 53.697252 20.429806 nan 44.012147 nan nan
262144 52.376665 nan 14.502510 nan 6.872838 56.048602 21.319534 nan 46.613890 nan nan
524288 54.690899 nan 14.465762 nan 6.900858 59.195300 21.515274 nan 48.863854 nan nan
1048576 58.011416 nan 14.585987 nan 7.551207 62.581688 21.780975 nan 51.084099 nan nan
2097152 61.245681 nan 15.135623 nan 7.765715 65.685259 22.110702 nan 53.677851 nan nan
4194304 65.134473 nan 14.924511 nan 7.663607 69.381918 22.545027 nan 56.005348 nan nan
