number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 112.228079 nan 111.543012 nan 112.132017 112.116042 111.564150 nan 112.819080 nan nan
2 56.835227 nan 56.696095 nan 55.898123 57.318365 57.055358 nan 56.767738 nan nan
4 29.583721 nan 29.619998 nan 28.264981 30.829441 30.488446 nan 29.410329 nan nan
8 16.284896 nan 16.804867 nan 14.011006 18.049267 18.001500 nan 15.522469 nan nan
16 10.979558 nan 11.496630 nan 7.009748 11.764559 12.092259 nan 9.305432 nan nan
32 10.917913 nan 8.116918 nan 4.913786 10.947326 7.600510 nan 4.958655 nan nan
64 17.452626 nan 6.833012 nan 4.347883 16.517973 7.596381 nan 3.505164 nan nan
128 2.838022 nan 5.828321 nan 3.122051 2.403167 6.208240 nan 2.699788 nan nan
256 3.919679 nan 6.202513 nan 2.971130 4.263344 6.379862 nan 2.609720 nan nan
512 3.946862 nan 4.877255 nan 2.630383 4.089515 6.030812 nan 2.586797 nan nan
1024 3.999497 nan 4.882396 nan 2.613239 3.821129 6.219752 nan 2.683455 nan nan
2048 3.748986 nan 4.900014 nan 2.636698 3.915013 6.175162 nan 2.992668 nan nan
4096 4.060643 nan 4.992955 nan 2.716001 4.098050 8.633152 nan 2.964967 nan nan
8192 4.334098 nan 5.375477 nan 2.786542 4.167332 10.529023 nan 3.133175 nan nan
16384 4.596488 nan 6.882765 nan 3.167413 4.336076 12.025667 nan 3.549551 nan nan
32768 4.676769 nan 8.358237 nan 3.356414 4.914917 12.845479 nan 3.844969 nan nan
65536 4.970735 nan 8.461098 nan 3.709750 5.120435 13.261790 nan 4.085653 nan nan
131072 5.079453 nan 8.437832 nan 3.858691 5.290676 13.535741 nan 4.326441 nan nan
262144 5.319445 nan 8.984615 nan 4.356593 5.437126 13.525894 nan 4.594893 nan nan
524288 5.490783 nan 10.592504 nan 5.648471 5.492563 14.218131 nan 4.731791 nan nan
1048576 5.735088 nan 11.441619 nan 6.904435 5.654726 14.602726 nan 4.890829 nan nan
2097152 5.911501 nan 11.728673 nan 7.479013 5.847086 14.721410 nan 5.085598 nan nan
4194304 6.127731 nan 12.283321 nan 7.526420 6.407395 15.330881 nan 5.593022 nan nan
