number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 112.054505 nan 111.567232 nan 112.307079 113.481991 111.657339 nan 113.391491 nan nan
2 56.875370 nan 57.063628 nan 56.042649 56.267548 56.012989 nan 56.679025 nan nan
4 28.649888 nan 28.637789 nan 27.801778 28.458091 28.605433 nan 29.028528 nan nan
8 15.431978 nan 14.902514 nan 13.977933 14.623233 14.616343 nan 14.740389 nan nan
16 7.977289 nan 7.697551 nan 7.002106 7.561944 7.591693 nan 7.763156 nan nan
32 4.334501 nan 6.106687 nan 5.051099 4.164460 5.139583 nan 4.726288 nan nan
64 2.482864 nan 5.510234 nan 4.401400 2.313268 6.398286 nan 3.353817 nan nan
128 2.531782 nan 4.532069 nan 3.335957 3.150651 5.071280 nan 3.031808 nan nan
256 3.309767 nan 4.658007 nan 2.917817 3.702860 5.178941 nan 3.083902 nan nan
512 3.055430 nan 3.408438 nan 2.447945 3.512333 5.042995 nan 3.342617 nan nan
1024 3.085477 nan 3.617092 nan 2.552694 3.420918 5.257596 nan 3.581962 nan nan
2048 3.193635 nan 3.658769 nan 2.674393 3.472582 5.454698 nan 3.828701 nan nan
4096 3.611177 nan 3.662708 nan 2.666984 3.785082 7.740595 nan 4.169240 nan nan
8192 3.802796 nan 4.258043 nan 2.802268 3.907555 9.231545 nan 4.471094 nan nan
16384 4.011720 nan 5.504799 nan 3.139386 4.173223 10.131075 nan 4.756002 nan nan
32768 4.195600 nan 6.554170 nan 3.304837 4.705036 11.748814 nan 5.469936 nan nan
65536 4.389620 nan 6.423457 nan 3.477971 4.854087 11.187370 nan 5.667322 nan nan
131072 4.662376 nan 7.661552 nan 4.085525 5.003377 11.788413 nan 5.919776 nan nan
262144 4.756504 nan 7.491272 nan 4.544079 5.200835 12.211684 nan 6.364576 nan nan
524288 5.029646 nan 8.579123 nan 4.970537 5.259438 13.194740 nan 6.604277 0 nan
1048576 5.247059 nan 9.301475 nan 6.624135 5.520088 12.946056 nan 6.736803 0 nan
2097152 5.450458 nan 9.848160 nan 7.193652 5.799542 13.286703 nan 7.137724 0 nan
4194304 5.716554 nan 10.170397 nan 7.379959 6.459840 13.709554 nan 7.662037 0 nan
