number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 112.045665 nan 111.917499 nan 111.486195 112.685720 112.384213 nan 112.840869 nan nan
2 56.760591 nan 57.161994 nan 55.718045 57.881687 56.079038 nan 57.664553 nan nan
4 29.051914 nan 29.067296 nan 27.937843 30.217607 29.883980 nan 29.733749 nan nan
8 15.558688 nan 15.927472 nan 14.131225 17.148767 17.099964 nan 15.519791 nan nan
16 9.391138 nan 9.568711 nan 6.975818 10.262469 11.007404 nan 8.642338 nan nan
32 7.767327 nan 7.636667 nan 5.752988 8.570846 7.866627 nan 6.199691 nan nan
64 8.751038 nan 6.264051 nan 4.720076 9.344968 7.640849 nan 4.351867 nan nan
128 8.748600 nan 5.051398 nan 3.627821 9.171482 6.849444 nan 5.451917 nan nan
256 10.156088 nan 5.936033 nan 3.458319 10.751570 6.285109 nan 4.327187 nan nan
512 9.783615 nan 4.439673 nan 2.780432 11.367987 6.413063 nan 4.613181 nan nan
1024 11.216069 nan 4.480754 nan 2.796401 15.018806 6.411246 nan 5.260262 nan nan
2048 15.831633 nan 4.811621 nan 3.035221 23.920365 7.382352 nan 9.642774 nan nan
4096 29.748567 nan 6.416089 nan 3.059444 32.651495 13.192783 nan 24.672224 nan nan
8192 34.765867 nan 8.782940 nan 3.206727 38.716397 15.425278 nan 31.136914 nan nan
16384 38.761578 nan 10.178065 nan 3.450174 42.763508 17.852157 nan 35.108870 nan nan
32768 42.414626 nan 11.891114 nan 4.145564 48.882917 19.051259 nan 40.025687 nan nan
65536 46.209403 nan 12.205992 nan 4.598486 51.387335 19.617217 nan 42.879092 nan nan
131072 49.386060 nan 12.937185 nan 5.177279 54.192048 21.036858 nan 44.816940 nan nan
262144 52.823762 nan 13.339480 nan 5.685117 57.075877 20.869436 nan 46.281683 nan nan
524288 56.394096 nan 14.183604 nan 6.998175 60.294315 21.559772 nan 48.703621 nan nan
1048576 59.085788 nan 15.241278 nan 7.605680 63.411667 21.802025 nan 51.287753 nan nan
2097152 62.086528 nan 15.417211 nan 8.079658 66.642967 22.289397 nan 53.290977 nan nan
4194304 65.574083 nan 15.228554 nan 7.768947 70.224205 22.732624 nan 56.329422 nan nan
