number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 112.343514 nan 111.190926 nan 111.558041 112.380316 111.940546 nan 112.961087 nan nan
2 56.895809 nan 56.753769 nan 56.473935 56.076987 58.070764 nan 57.432868 nan nan
4 28.782856 nan 28.742989 nan 27.909476 29.483831 28.625755 nan 29.138807 nan nan
8 14.850203 nan 14.745042 nan 13.968991 14.608350 14.606910 nan 14.793805 nan nan
16 8.017779 nan 7.727330 nan 7.012865 7.638299 7.648167 nan 7.738781 nan nan
32 4.360796 nan 9.610322 nan 11.203234 4.194773 13.426977 nan 4.530118 nan nan
64 2.471010 nan 7.841121 nan 8.383727 2.312453 8.667064 nan 3.050759 nan nan
128 9.603441 nan 5.148070 nan 5.513690 10.283144 5.381320 nan 2.613924 nan nan
256 7.953753 nan 4.770313 nan 4.762984 8.397969 4.786376 nan 2.404791 nan nan
512 7.252422 nan 3.964722 nan 3.977506 7.422902 4.469873 nan 2.491595 nan nan
1024 6.804699 nan 3.806515 nan 3.821148 6.894219 4.283181 nan 2.692734 nan nan
2048 6.639982 nan 4.083646 nan 4.081744 6.671510 4.198214 nan 3.209174 nan nan
4096 6.547302 nan 4.130714 nan 4.131311 6.570155 4.338401 nan 3.213778 nan nan
8192 6.467797 nan 4.136105 nan 4.114441 6.504935 4.578053 nan 3.578839 nan nan
16384 6.449244 nan 3.722449 nan 3.832242 6.985552 4.554744 nan 4.101557 nan nan
32768 6.445786 nan 4.194663 nan 4.188770 7.005988 4.551705 nan 4.446748 nan nan
65536 6.417531 nan 3.820429 nan 5.206022 6.999075 4.509142 nan 4.832763 nan nan
131072 6.440466 nan 6.721293 nan 6.806466 6.985454 5.199713 nan 5.200897 nan nan
262144 6.497684 nan 10.998602 nan 10.683245 7.000133 7.847930 nan 5.642764 nan nan
524288 6.476243 nan 11.429760 nan 9.625225 6.887269 8.140699 nan 5.873440 0 nan
1048576 6.523200 nan 14.741426 nan 15.360564 7.107754 7.197859 nan 6.122700 0 nan
2097152 6.580869 nan 13.097116 nan 9.025596 7.625199 8.503467 nan 6.329983 0 nan
4194304 6.706461 nan 7.767584 nan 7.391027 10.365596 10.162039 nan 6.880527 0 nan
