number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.589063 nan 112.029596 111.658572 111.186622 110.792759 111.122957 729.983868 111.971254 126.406567 112.107764
2 57.066936 nan 56.557396 63.027309 55.785776 57.121459 57.148901 375.167804 57.124717 63.098885 63.316200
4 29.298349 nan 29.727065 31.459207 27.910134 30.237636 29.889923 193.400832 29.722379 31.649342 32.554591
8 15.441989 nan 15.382804 15.671274 13.960107 16.941037 16.495133 99.677664 15.227268 15.744149 15.869727
16 8.844703 nan 8.796854 7.748801 7.117269 10.219931 9.993955 51.445535 8.720265 7.891187 7.941074
32 6.396615 nan 5.524363 4.987844 4.096259 7.948557 6.367575 28.878219 5.936918 5.012748 4.387728
64 7.036368 nan 3.883358 2.926345 2.593253 8.177298 4.930146 18.000531 4.196042 2.906793 2.672998
128 6.053646 nan 2.908064 2.087523 1.733809 7.163972 4.449437 7.842750 3.763597 2.102507 1.489745
256 6.956182 nan 2.994483 1.837452 1.658846 7.547311 4.211150 4.957589 4.038241 1.832180 1.246028
512 7.299023 nan 2.974289 1.892432 1.823520 8.696509 4.231134 3.550472 4.398571 1.759932 1.273216
1024 8.520980 nan 3.045261 1.942937 1.853217 15.336076 4.473908 3.130600 4.955500 1.764990 1.420285
2048 15.474366 nan 3.167487 2.065129 1.956383 26.876921 4.584926 2.619173 16.386718 1.822965 1.486345
4096 25.924634 nan 5.908499 2.288460 2.162487 31.919716 8.161420 2.728620 22.183418 1.852484 1.605556
8192 32.405389 nan 7.714759 2.439160 2.333547 37.606635 11.902484 3.143270 27.977644 2.106944 1.791755
16384 36.821549 nan 8.965628 2.733530 2.502484 42.110991 12.831224 4.310432 31.956864 2.111558 1.911450
32768 40.873973 nan 9.718650 2.998712 2.770845 46.323699 13.773606 5.091262 34.512069 2.720366 2.055970
65536 44.505338 nan 10.257598 3.591106 3.347299 49.980616 14.144727 5.201587 37.455127 3.403939 2.182928
131072 47.504934 nan 10.505197 3.885899 3.745915 53.244935 14.561469 5.264537 39.443543 3.663826 2.379255
262144 50.327120 nan 10.895017 4.314879 4.022493 56.832518 14.787358 5.554559 41.311524 3.993933 2.664866
524288 53.669874 nan 11.015207 4.574239 4.281721 60.636014 15.014964 5.548910 43.227159 4.281336 2.832605
1048576 56.698037 nan 11.285379 4.818754 4.644196 63.116953 15.317162 5.777357 45.336191 4.626481 3.080879
2097152 60.086808 nan 11.616214 5.243596 4.948466 66.345475 15.607131 6.098459 47.833966 4.816453 3.185944
4194304 63.227404 nan 11.914716 5.384108 5.140642 69.722277 16.019121 6.146677 49.449534 4.973764 3.416796
