number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.905923 nan 111.654260 111.515108 110.914068 110.543026 110.709747 730.217920 111.933394 124.777377 112.181759
2 57.025913 nan 57.039612 62.378754 55.715566 56.632005 56.444860 373.496121 57.111266 62.308582 63.108475
4 28.912879 nan 29.000669 31.259808 28.080950 29.721897 30.164424 194.093195 29.649287 31.227618 31.473437
8 15.222531 nan 15.316716 15.601607 13.907549 16.171616 16.204713 98.811798 15.180103 15.506183 15.780108
16 8.771140 nan 8.511240 7.733160 6.943596 10.306966 9.762785 52.655590 8.801336 7.764487 7.905403
32 5.876556 nan 5.492513 5.122257 4.534348 7.465230 6.422024 27.424431 5.654066 5.063816 4.443858
64 5.659366 nan 3.721658 2.938118 2.442659 7.698340 4.892723 14.381678 4.364288 2.931947 2.667625
128 6.320816 nan 3.063071 2.123628 1.832639 6.806817 4.297732 7.816220 3.881843 2.125119 1.482015
256 6.886336 nan 2.944293 1.860126 1.660356 7.603562 4.114506 4.959589 3.854216 1.821993 1.248858
512 7.350874 nan 2.924478 1.890928 1.731718 8.024063 4.204820 3.736829 4.360364 1.708989 1.300143
1024 7.781097 nan 2.951909 2.000419 1.868339 14.446363 4.468137 3.157647 4.739159 1.756295 1.427189
2048 14.796098 nan 3.085843 2.065873 1.960307 25.310162 4.623554 3.512120 15.757607 1.783097 1.521327
4096 25.579159 nan 5.779368 2.362465 2.183035 30.896254 8.140039 2.638498 22.342145 1.927073 1.675810
8192 31.847020 nan 7.755798 2.501488 2.320491 36.760714 11.769937 3.068374 27.495071 1.996616 1.761940
16384 36.197100 nan 8.953094 2.664387 2.523755 41.013538 12.838327 4.330339 31.471993 2.089689 1.894440
32768 39.251260 nan 9.739011 2.906328 2.800167 44.366791 13.795861 5.094738 34.003113 2.674877 2.005270
65536 42.990145 nan 10.154383 3.430290 3.368371 48.257210 14.097358 5.197801 37.205358 3.394469 2.140024
131072 46.275675 nan 10.460620 3.795286 3.686960 51.433296 14.435381 5.307651 38.773035 3.689719 2.332323
262144 48.689289 nan 10.828099 4.145690 4.014655 54.391283 14.748902 5.601437 41.086285 3.916480 2.623480
524288 51.829283 nan 11.054330 4.506558 4.329426 57.819514 15.089136 5.557853 42.853129 4.512403 2.869955
1048576 55.024970 nan 11.334624 4.891020 4.641104 60.835872 15.343051 5.828659 44.846026 4.546314 3.004508
2097152 57.959874 nan 11.624326 5.145795 4.895113 64.130885 15.586584 6.025497 46.912950 4.860113 3.283145
4194304 61.926338 nan 11.966943 5.521830 5.304095 67.500365 15.962783 6.103842 49.340611 5.417010 3.443766
