number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 112.118714 nan 111.839334 112.440611 111.722645 113.491827 113.495006 740.310105 113.285140 124.988969 117.120124
2 57.033219 nan 57.123760 62.926356 56.200420 57.281371 57.724733 374.086721 57.366145 62.609757 65.544976
4 29.624056 nan 29.822917 31.697950 28.221370 30.398113 30.910122 194.407971 30.500643 31.391845 32.950916
8 16.196083 nan 16.487866 15.692413 14.283159 17.429562 18.024019 99.848543 17.184630 15.611974 16.596675
16 10.238164 nan 10.522553 7.823509 7.033675 11.036311 13.079809 53.873846 11.576103 7.902048 8.191300
32 8.277114 nan 6.204647 4.999184 4.240559 10.023069 8.234538 27.749837 4.969180 4.998009 4.518151
64 11.553378 nan 4.499904 2.889977 2.536338 13.869559 6.218627 13.922401 3.276697 2.943090 2.690930
128 2.830732 nan 3.659854 2.077052 1.649492 3.008739 6.103937 7.778305 2.516671 2.072439 1.472862
256 2.373701 nan 3.252476 1.818583 1.513737 2.711999 5.291561 5.078604 2.095144 1.831482 1.407294
512 2.366341 nan 3.094758 1.777921 1.538417 2.781310 5.136865 3.522929 2.465462 2.371944 1.266644
1024 2.586419 nan 3.073229 1.783467 1.532315 3.172026 5.300082 2.912780 2.287842 2.532867 1.394794
2048 2.709833 nan 3.214676 1.828885 1.591770 2.652564 5.394767 2.584518 2.114267 2.871284 1.596672
4096 2.844666 nan 3.310869 1.848514 1.631665 2.927868 5.928154 2.602723 2.280837 3.270567 1.677232
8192 2.981149 nan 3.524988 1.907773 1.738071 3.045456 7.551574 3.108094 2.333465 4.087164 1.748306
16384 3.333602 nan 4.394381 2.005545 1.807897 3.215344 8.375973 4.477368 2.553757 4.650196 1.862743
32768 3.477703 nan 4.746024 2.064349 1.854022 3.387439 9.065210 5.274058 2.466655 5.082168 1.985895
65536 3.568082 nan 5.138953 2.183186 2.045413 3.682607 9.414981 5.556287 2.855274 5.990984 2.126197
131072 3.840329 nan 5.282540 2.269712 2.168052 3.811231 10.085263 5.850520 2.869913 7.526098 2.262678
262144 4.382794 nan 5.751452 2.426405 2.365730 4.157261 10.282300 6.032938 3.112140 8.160960 2.452957
524288 4.244616 nan 6.057505 2.659672 2.730821 4.225275 10.480179 6.241633 3.174725 9.236352 2.722570
1048576 4.451193 nan 5.945689 2.632579 2.724711 4.493460 10.552217 6.387797 3.398581 9.949093 2.954944
2097152 4.629636 nan 6.053407 2.789747 2.856825 4.736160 10.790612 6.706524 3.533473 11.939532 3.157296
4194304 4.811706 nan 6.302587 2.946190 3.138536 5.018673 11.157247 6.828572 3.749609 14.798156 3.356004
