number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.879702 nan 111.629712 111.749486 111.285378 111.494997 111.077258 732.164658 112.059460 126.755460 112.428218
2 56.459460 nan 56.558096 62.820869 55.676838 56.830964 56.546052 374.388809 57.167208 63.193185 63.225916
4 29.029242 nan 29.056396 31.301313 27.868407 30.031906 29.802711 193.820838 29.506716 31.687773 31.647447
8 15.030751 nan 15.645549 16.140881 13.865099 16.533277 17.029387 99.241359 15.384650 15.797407 15.768559
16 8.837501 nan 9.740228 7.834628 6.981315 10.246447 10.987840 51.645868 8.613703 7.980689 7.981565
32 6.139083 nan 5.310911 4.776420 3.987607 7.643914 7.425589 27.735197 5.639507 4.826816 4.390708
64 6.417717 nan 3.753861 2.754683 2.449190 9.841759 6.203603 16.862190 4.075804 2.764223 2.640211
128 6.924496 nan 2.979495 1.940383 1.984655 7.199634 5.173552 7.974525 3.682472 1.949677 1.428756
256 7.077289 nan 2.877661 1.720986 1.751460 8.351376 5.061866 4.976987 3.892434 1.717671 1.210163
512 7.477121 nan 2.709062 1.695896 1.720648 8.821041 5.208434 3.504224 4.277737 1.589463 1.235391
1024 8.358254 nan 2.996058 1.844656 1.847792 9.628928 5.445392 2.816571 4.555196 1.640897 1.283805
2048 16.577883 nan 3.122539 2.012291 1.949013 22.284149 5.931439 2.877289 15.950680 1.749850 1.435769
4096 27.409900 nan 5.382159 2.170594 2.122751 31.929701 10.793483 2.622059 22.749744 1.753682 1.584206
8192 33.874010 nan 7.135633 2.311514 2.310134 38.108131 12.511550 3.016227 28.791025 1.872890 1.670045
16384 38.503622 nan 8.349327 2.519726 2.520307 42.392044 13.496644 4.352775 33.032247 1.983801 1.751410
32768 42.645325 nan 9.046817 2.734269 2.767678 46.194971 14.302743 5.096757 35.479537 2.432978 1.879278
65536 46.566426 nan 9.606353 3.143541 3.361701 49.816922 14.592710 5.205076 38.575442 3.006825 2.012179
131072 49.991260 nan 9.967689 3.500705 3.616870 53.265630 14.946916 5.333899 40.050824 3.310808 2.207993
262144 52.526595 nan 10.181533 3.850752 3.935940 56.743201 15.252088 5.563619 41.874269 3.568348 2.465227
524288 55.773575 nan 10.498545 4.159510 4.261049 60.270145 15.570038 5.593741 43.839481 3.957855 2.684538
1048576 59.307986 nan 10.768942 4.482847 4.576327 63.644549 15.789034 5.835163 46.064727 4.226901 2.886431
2097152 63.070264 nan 11.098999 4.775452 4.871906 67.308733 16.121628 6.013452 47.744099 4.389931 3.029433
4194304 66.424492 nan 11.401788 5.080789 5.184503 70.724934 16.430163 6.115549 50.163652 4.698192 3.277456
