number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.952877 nan 111.518786 111.465591 110.724659 110.865033 110.814445 728.908459 114.147192 127.209444 114.442343
2 56.311777 nan 56.294426 62.711747 55.548301 56.239365 56.773952 375.648989 56.809003 62.281344 62.959762
4 28.684785 nan 28.714495 31.661359 27.906735 28.741860 29.690893 196.989621 28.774797 31.187765 31.497081
8 15.166494 nan 15.166512 15.503209 13.904875 15.740651 15.520145 100.238911 15.225331 15.505937 15.784785
16 8.343510 nan 7.703769 7.728603 7.128615 8.856257 9.452933 54.121349 8.307432 7.778443 7.874051
32 5.474696 nan 15.028113 4.955173 14.695812 6.431988 9.865422 29.460912 5.244132 4.953010 4.387120
64 4.387173 nan 6.284660 2.912203 6.331112 4.995996 6.907602 15.885527 3.595683 2.869361 2.665562
128 10.263340 nan 5.459677 2.071712 5.545897 11.467278 5.424103 10.503505 2.842353 2.065577 1.466031
256 8.637712 nan 3.057671 1.821480 2.892063 9.356367 2.804456 7.764030 2.702099 1.818136 1.252038
512 7.904533 nan 2.578287 2.556301 2.540082 8.189726 2.494498 6.479424 2.842074 2.985400 1.265941
1024 7.549511 nan 2.377729 2.379831 2.378385 7.738145 2.327799 5.852685 3.012447 18.719529 0.356361
2048 7.329371 nan 2.288266 2.293355 2.397400 7.490275 2.291102 5.799776 3.083910 42.368848 0.207769
4096 7.255401 nan 2.245855 2.245450 2.234262 7.381364 2.567644 5.606390 3.345276 83.162157 0.154595
8192 7.272734 nan 2.382129 2.373548 2.397732 8.535999 2.302758 5.566623 4.263082 176.394188 0.206612
16384 8.600669 nan 2.471677 2.466874 2.479458 9.174132 2.193491 5.472412 5.913652 347.732344 0.124100
32768 9.381568 nan 2.493022 2.500028 2.487955 9.458118 2.382262 5.498067 6.790331 708.648481 0.147566
65536 9.395006 nan 2.400308 2.396130 2.388430 9.606989 2.373465 5.455939 7.158426 1369.706358 0.111543
131072 9.511915 nan 2.191373 2.193381 2.194642 10.172138 2.383083 5.467672 7.266088 2724.657862 0.165353
262144 9.570689 nan 2.683016 2.709492 2.707896 9.673135 2.872097 5.496673 7.831082 5427.502075 0.228614
524288 9.722690 nan 4.244327 4.297624 4.264543 9.822773 4.120754 5.508081 8.004935 0 0.351494
1048576 9.747417 nan 4.412583 4.394206 4.398773 9.846283 3.929318 5.516755 8.303572 0 0.155883
2097152 9.674775 nan 4.308765 4.312170 4.251950 9.835111 3.832267 5.548804 8.318587 0 0.171872
4194304 9.930679 nan 3.894418 3.891368 3.876372 9.894177 4.401561 5.543496 8.661986 0 0.333742
