number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 112.083205 nan 112.434774 112.126848 111.380370 111.588003 112.544056 nan 113.488308 141.541653 nan
2 56.336880 nan 56.364340 69.080731 55.811012 56.426749 55.966826 nan 57.368506 70.907852 nan
4 28.996449 nan 29.160812 34.609039 27.925282 29.757203 29.682899 nan 29.497088 35.263087 nan
8 15.042640 nan 15.300665 17.240817 13.919344 16.866383 16.249754 nan 15.686274 17.657198 nan
16 9.191481 nan 9.221027 8.635371 6.998558 10.103885 10.700590 nan 8.957204 8.790531 nan
32 6.787189 nan 12.994479 5.276265 10.127136 8.197772 11.524327 nan 5.878470 5.317047 nan
64 8.072714 nan 14.424943 3.525956 13.349461 8.699271 14.221726 nan 4.598721 3.597495 nan
128 11.973394 nan 9.765350 3.005645 8.261753 13.710909 11.635354 nan 4.067444 2.985161 nan
256 13.705947 nan 8.520370 2.975671 7.002916 16.055360 9.506449 nan 4.373770 3.055980 nan
512 13.919572 nan 7.054331 4.802797 5.505256 15.008741 8.982877 nan 4.687365 3.029608 nan
1024 13.810205 nan 6.939018 6.327127 5.429908 15.126552 8.775496 nan 4.996678 3.108808 nan
2048 19.196536 nan 6.246245 6.430095 5.415633 26.402716 8.018465 nan 6.337071 3.094610 nan
4096 28.621308 nan 5.921182 6.833511 5.423798 34.533020 7.004713 nan 19.377690 3.486338 nan
8192 32.820565 nan 5.420633 6.945509 5.373013 38.141855 7.712702 nan 26.043473 3.668361 nan
16384 31.694881 nan 5.217534 7.116963 5.211344 36.531440 8.167958 nan 27.058368 3.855472 nan
32768 32.132078 nan 5.243863 7.032619 5.395682 35.690200 12.951521 nan 26.594063 4.777979 nan
65536 32.759686 nan 5.196616 5.887875 5.591363 35.346742 8.283859 nan 26.690296 5.743751 nan
131072 31.900409 nan 7.193391 7.594076 7.463414 34.618873 9.185745 nan 26.743482 20.587986 nan
262144 31.824679 nan 8.667753 9.056733 9.074041 33.566019 9.176312 nan 26.239692 53.764841 nan
524288 31.886956 nan 11.343061 12.342174 11.551664 33.453253 11.544672 nan 25.738451 109.412407 nan
1048576 32.062509 nan 11.026573 10.146515 13.103196 33.294434 10.796484 nan 25.327167 215.344768 nan
2097152 31.946580 nan 14.096597 13.982975 14.137438 33.325500 11.526402 nan 26.348262 423.884244 nan
4194304 32.212433 nan 9.421598 10.996350 10.887312 34.117781 11.229810 nan 26.056827 864.887597 nan
