number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.391138 nan 111.231119 111.392623 111.012175 111.181856 111.452440 nan 113.123893 140.769663 nan
2 56.120560 nan 56.440822 68.966264 55.569027 56.094124 56.463774 nan 57.360535 70.460873 nan
4 28.810705 nan 29.189152 34.498509 27.881986 29.399845 29.905564 nan 29.458688 35.703324 nan
8 15.457997 nan 15.401749 17.241302 13.886627 16.859267 16.335432 nan 15.581391 17.645627 nan
16 9.124356 nan 9.431391 8.663141 7.012635 10.963497 10.214652 nan 9.006289 8.790517 nan
32 7.030447 nan 5.862323 5.654187 4.055786 7.944756 7.842767 nan 5.618791 5.431731 nan
64 9.269044 nan 4.381973 3.518128 2.993179 8.459476 6.159012 nan 4.597820 3.683589 nan
128 7.242527 nan 3.545532 3.054955 1.886295 7.516955 5.637346 nan 4.229715 3.049855 nan
256 7.313822 nan 3.391581 3.021915 1.954317 8.539584 5.657334 nan 4.098154 3.054693 nan
512 8.226613 nan 3.547153 3.156453 1.824328 9.295611 5.755653 nan 4.807351 2.941739 nan
1024 9.288001 nan 3.651519 3.206874 2.119625 10.487411 6.548331 nan 5.518084 3.310894 nan
2048 14.385204 nan 3.776547 3.413301 2.264021 22.297629 6.620824 nan 9.742437 3.265631 nan
4096 25.829719 nan 4.200108 3.602544 2.509962 33.106950 11.045183 nan 22.206777 3.459323 nan
8192 33.842708 nan 6.938544 3.834665 2.631162 40.115844 14.779765 nan 30.803849 3.782253 nan
16384 37.338423 nan 9.507827 4.019470 2.821522 45.262612 16.322508 nan 34.398434 3.950707 nan
32768 43.210501 nan 9.920338 4.309545 3.421597 49.196187 17.456431 nan 37.165816 4.787490 nan
65536 45.615336 nan 10.344861 4.665349 3.711454 51.536460 17.877001 nan 38.918523 5.380660 nan
131072 48.384026 nan 11.163582 5.316905 4.153511 54.913586 18.602126 nan 40.967500 5.956189 nan
262144 51.287935 nan 11.112549 5.705405 4.414106 56.774215 19.146781 nan 42.345006 6.612876 nan
524288 54.405512 nan 11.443968 6.146541 4.808269 59.795584 19.126431 nan 43.886417 7.013904 nan
1048576 58.222628 nan 11.777153 6.451656 5.205262 63.090979 19.374549 nan 46.334836 7.506439 nan
2097152 61.021208 nan 12.169430 6.825296 5.622105 66.402944 19.759704 nan 48.028554 8.086558 nan
4194304 64.169782 nan 12.492781 7.160952 5.932423 69.716002 20.181429 nan 50.240544 8.519089 nan
