number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.185039 nan 111.108670 nan 111.400617 111.725870 111.254013 3339.622034 112.093287 nan nan
2 56.228381 nan 57.199157 nan 57.820201 55.809494 56.349261 1674.573236 57.044641 nan nan
4 28.824924 nan 29.216106 nan 27.971332 28.944102 30.092906 845.987859 29.412987 nan nan
8 15.131424 nan 15.809788 nan 13.985853 16.242822 16.570553 431.017308 15.609441 nan nan
16 8.698590 nan 9.036525 nan 6.975761 10.252804 10.735493 224.376952 8.615645 nan nan
32 5.877936 nan 27.661189 nan 35.300543 8.501504 10.202885 118.104881 5.792342 nan nan
64 5.516526 nan 27.303334 nan 31.527836 8.700747 22.624616 58.584756 4.343423 nan nan
128 16.220765 nan 25.466676 nan 24.928038 20.493504 21.077864 33.768228 4.171935 nan nan
256 24.701738 nan 13.802366 nan 13.959160 26.190468 13.343813 21.579182 4.505857 nan nan
512 22.265629 nan 12.082807 nan 10.711624 23.203774 12.909905 15.400721 4.541966 nan nan
1024 22.327841 nan 11.683566 nan 10.785660 22.872306 12.470598 12.437931 4.948672 nan nan
2048 26.212588 nan 11.355673 nan 10.733450 34.000741 12.025228 11.046594 12.103973 nan nan
4096 37.961452 nan 10.919495 nan 10.552603 42.211015 11.253118 10.731434 20.962762 nan nan
8192 39.771311 nan 10.872891 nan 10.608654 42.789655 10.768883 10.639493 23.306757 nan nan
16384 37.750176 nan 11.639049 nan 11.612893 40.159595 11.513396 10.465881 25.820057 nan nan
32768 37.918395 nan 12.124203 nan 12.115965 39.616760 12.520439 10.389933 25.484242 nan nan
65536 38.118564 nan 12.384546 nan 12.522348 39.383286 12.518429 10.543346 25.525729 nan nan
131072 38.972782 nan 12.433881 nan 12.497102 39.370581 13.266477 10.832697 25.944932 nan nan
262144 39.504495 nan 21.945308 nan 21.136288 40.173646 15.178245 10.668857 25.905807 nan nan
524288 38.150910 nan 22.215637 nan 22.700241 39.829530 20.246533 10.515647 26.418395 nan nan
1048576 38.314249 nan 18.743682 nan 21.254166 39.857433 21.386160 10.825702 25.890392 nan nan
2097152 38.507079 nan 22.243316 nan 22.406709 39.738749 21.890586 11.132753 27.039696 nan nan
4194304 41.104568 nan 23.074777 nan 23.046833 43.064151 25.417209 11.065984 27.120966 nan nan
