number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.388953 nan 111.682364 nan 112.676548 111.995554 111.310152 3334.198510 112.450678 nan nan
2 55.926718 nan 57.374178 nan 56.372074 56.318227 55.990658 1678.482114 57.306253 nan nan
4 28.553019 nan 28.607900 nan 27.994672 28.455948 28.523140 850.260888 29.078965 nan nan
8 14.552678 nan 14.944178 nan 14.000816 14.392308 14.639737 439.112070 14.839153 nan nan
16 7.504225 nan 7.769829 nan 7.084041 7.421273 7.547428 229.385544 8.040556 nan nan
32 3.868646 nan 4.469972 nan 4.115911 4.096454 4.502789 124.275598 4.749300 nan nan
64 2.249839 nan 3.235286 nan 2.678952 2.265526 3.510616 65.488533 3.084060 nan nan
128 1.750421 nan 2.568462 nan 2.120670 1.941159 3.213522 32.355265 2.733515 nan nan
256 1.585714 nan 2.870145 nan 2.129611 2.050410 3.033951 18.964530 2.562511 nan nan
512 1.720239 nan 2.801420 nan 2.175419 2.142493 2.953560 11.765492 2.692180 nan nan
1024 1.908210 nan 2.901787 nan 2.180830 2.264971 3.295382 8.672996 2.769796 nan nan
2048 2.203381 nan 3.175360 nan 2.471041 2.429466 3.833090 7.620075 2.857130 nan nan
4096 2.329201 nan 3.232937 nan 2.535351 2.634317 4.129611 8.389440 3.030918 nan nan
8192 2.530923 nan 4.483191 nan 2.714262 2.786949 6.463072 10.423017 3.161018 nan nan
16384 2.705681 nan 5.111272 nan 2.915945 2.953960 7.757968 11.446629 3.355691 nan nan
32768 2.934515 nan 5.698920 nan 3.002139 3.178425 8.316910 11.687474 3.509987 nan nan
65536 3.178768 nan 6.252711 nan 3.413177 3.343170 9.184284 12.032358 3.747238 nan nan
131072 3.517302 nan 6.771258 nan 3.766407 3.559618 9.651615 13.023012 3.902820 nan nan
262144 3.716257 nan 7.235940 nan 4.196265 3.982792 10.107893 13.322572 4.377590 nan nan
524288 4.009598 nan 7.387082 nan 4.574170 4.237622 10.545209 13.654843 4.624843 0 nan
1048576 4.190659 nan 7.932852 nan 4.864646 4.442337 10.802991 14.482007 4.964390 0 nan
2097152 4.586398 nan 8.163000 nan 5.195672 4.668191 11.573470 14.988125 5.184072 0 nan
4194304 4.875367 nan 8.519056 nan 5.829544 5.012611 11.863605 14.720524 5.462748 0 nan
