number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.072503 nan 111.803473 nan 115.385109 111.673352 111.673882 3338.210540 112.984278 nan nan
2 56.165818 nan 56.307969 nan 56.064258 56.058686 56.069129 1675.039733 56.634977 nan nan
4 28.333998 nan 28.446593 nan 28.084238 28.238641 28.393250 847.152108 28.838069 nan nan
8 14.393147 nan 14.539335 nan 13.961483 14.333370 14.500470 429.895757 14.765903 nan nan
16 7.355404 nan 7.552215 nan 6.979668 7.367090 7.473429 223.287438 8.003041 nan nan
32 3.889573 nan 21.892499 nan 21.474099 4.093919 23.039656 115.722571 4.682742 nan nan
64 2.226789 nan 20.113248 nan 22.309189 2.237179 15.805187 59.524679 3.360589 nan nan
128 18.574972 nan 10.216011 nan 9.887550 19.167526 10.507598 34.884535 2.681436 nan nan
256 15.711044 nan 9.098566 nan 9.116715 16.029338 9.311351 22.487091 2.746928 nan nan
512 14.323202 nan 8.659263 nan 8.617705 14.454630 8.748491 16.534280 2.716426 nan nan
1024 13.543808 nan 8.355199 nan 8.345875 13.668058 8.528271 13.655227 2.601648 nan nan
2048 13.185835 nan 8.328882 nan 8.325120 13.256063 8.305787 12.209835 2.984403 nan nan
4096 13.042241 nan 8.799864 nan 9.043512 13.574912 8.199339 12.546614 3.158987 nan nan
8192 13.110259 nan 8.985516 nan 8.989820 13.120675 8.976438 11.730488 3.219185 nan nan
16384 15.133810 nan 9.020446 nan 9.087670 13.083721 9.741420 11.441200 3.598461 nan nan
32768 14.052797 nan 9.430717 nan 9.063183 13.815612 9.111464 11.493156 4.043177 nan nan
65536 13.630916 nan 9.340986 nan 9.808583 12.981190 8.218472 11.640333 4.029689 nan nan
131072 12.854472 nan 10.944785 nan 10.903081 12.837433 9.725001 11.455995 4.432595 nan nan
262144 13.032676 nan 13.559681 nan 11.512439 13.111579 14.606888 11.343698 4.900586 nan nan
524288 13.154275 nan 15.247254 nan 15.193161 13.224325 14.857109 11.402232 5.477986 0 nan
1048576 13.323395 nan 15.220788 nan 14.848546 13.257383 13.728710 11.477706 5.700623 0 nan
2097152 15.461308 nan 16.894761 nan 16.750068 16.096328 16.732782 11.263382 6.116326 0 nan
4194304 19.497073 nan 18.356888 nan 18.478792 20.116759 18.062550 11.617584 6.619353 0 nan
