number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.915394 nan 112.825678 nan 112.801012 112.567346 112.323227 nan 115.616439 nan nan
2 57.468630 nan 57.155243 nan 56.439008 57.553502 57.282429 nan 58.055637 nan nan
4 29.495728 nan 29.802673 nan 28.128010 30.337890 30.630907 nan 29.646566 nan nan
8 16.119910 nan 16.429929 nan 14.060409 17.840637 17.644802 nan 15.674560 nan nan
16 10.543809 nan 10.909369 nan 7.087006 12.475652 12.400101 nan 8.877099 nan nan
32 10.252576 nan 6.214422 nan 4.110946 12.144227 7.148034 nan 5.196680 nan nan
64 16.427655 nan 5.006313 nan 2.905584 17.256454 6.368391 nan 3.925853 nan nan
128 2.767475 nan 4.307737 nan 2.402953 3.320014 6.494616 nan 3.157522 nan nan
256 2.585934 nan 4.173885 nan 2.207400 3.971653 6.492032 nan 2.998026 nan nan
512 3.019326 nan 4.460107 nan 2.603698 4.062962 6.821756 nan 2.836613 nan nan
1024 2.591041 nan 4.556275 nan 2.831157 4.273869 7.141412 nan 2.737389 nan nan
2048 3.019868 nan 4.771379 nan 3.062539 4.864885 7.875117 nan 2.866330 nan nan
4096 3.030970 nan 4.980562 nan 3.166836 5.263672 8.271373 nan 2.904865 nan nan
8192 3.244032 nan 5.509435 nan 3.561837 6.014381 11.224538 nan 3.138039 nan nan
16384 3.605965 nan 7.187665 nan 3.861666 6.403852 13.303448 nan 3.219087 nan nan
32768 3.841682 nan 8.048832 nan 4.282819 6.984728 14.195295 nan 3.478864 nan nan
65536 3.859470 nan 8.907447 nan 4.770370 7.534080 14.832304 nan 4.153077 nan nan
131072 4.083714 nan 9.931377 nan 5.792401 8.234436 15.534260 nan 4.301450 nan nan
262144 4.458506 nan 10.398228 nan 6.204727 8.582662 16.112343 nan 4.377108 nan nan
524288 4.674822 nan 11.171479 nan 6.940920 9.037294 16.282640 nan 4.792237 nan nan
1048576 4.990302 nan 11.938791 nan 7.962089 9.363724 16.818171 nan 4.756395 nan nan
2097152 5.321208 nan 12.851734 nan 8.787619 11.596422 18.452199 nan 5.904164 nan nan
4194304 5.646008 nan 13.488586 nan 9.464326 11.301826 18.631199 nan 6.754750 nan nan
