number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.275514 nan 111.846424 nan 111.890064 111.594307 111.302373 nan 114.151138 nan nan
2 57.934353 nan 56.303010 nan 56.661305 57.032674 56.143099 nan 57.215298 nan nan
4 28.679701 nan 28.613055 nan 27.907575 27.943218 28.466287 nan 29.258250 nan nan
8 14.590373 nan 14.680880 nan 13.991249 14.210905 14.488020 nan 15.242004 nan nan
16 7.639982 nan 7.954077 nan 7.001072 7.332385 7.566886 nan 8.457179 nan nan
32 4.343072 nan 4.880703 nan 4.165480 4.070218 5.645235 nan 5.152061 nan nan
64 2.413197 nan 3.537744 nan 2.688300 2.528498 4.897058 nan 3.826324 nan nan
128 1.948698 nan 3.051161 nan 2.348203 2.623342 4.849811 nan 3.301184 nan nan
256 1.897209 nan 3.117567 nan 2.365782 2.846851 5.263660 nan 3.167980 nan nan
512 1.937500 nan 3.351923 nan 2.763160 3.079973 5.895631 nan 3.228782 nan nan
1024 2.090009 nan 3.499193 nan 2.730370 3.532044 6.439479 nan 3.336783 nan nan
2048 2.187228 nan 3.751307 nan 2.907036 4.226387 6.890115 nan 3.401947 nan nan
4096 2.451788 nan 4.021837 nan 3.167364 4.699129 7.493139 nan 3.649400 nan nan
8192 2.852777 nan 4.400378 nan 3.482779 5.330988 9.603817 nan 3.838484 nan nan
16384 2.902869 nan 5.747731 nan 3.978211 5.875245 11.716086 nan 4.142163 nan nan
32768 3.132042 nan 7.033021 nan 4.151592 6.462952 12.856705 nan 4.409061 nan nan
65536 3.384680 nan 8.242573 nan 5.078361 7.019849 13.362110 nan 4.761906 nan nan
131072 3.513186 nan 9.413467 nan 6.061646 7.506130 14.465412 nan 5.038231 nan nan
262144 4.285473 nan 9.600491 nan 6.434125 8.121009 15.055408 nan 5.505063 nan nan
524288 4.264705 nan 10.276535 nan 7.171152 8.590301 14.813489 nan 5.733804 0 nan
1048576 4.437782 nan 10.678046 nan 7.985613 9.197870 16.230152 nan 6.814353 0 nan
2097152 4.681643 nan 11.967995 nan 9.095838 9.986984 16.180281 nan 7.315428 0 nan
4194304 5.020298 nan 12.654806 nan 9.784607 10.709936 17.070671 nan 7.733123 0 nan
