number_of_elements RadixSeq RadixSIMDOneReg RadixSIMD RadixSIMDBramSmall RadixSIMDNoCmp MoellerSeq MoellerCompress IPPRadix STLSort BramasSort BlacherSort
1 111.531739 nan 112.080513 nan 112.610450 111.378415 111.958506 nan 113.961483 nan nan
2 56.093454 nan 56.233100 nan 56.137898 56.608950 56.439104 nan 57.368439 nan nan
4 29.249774 nan 28.606722 nan 27.956809 28.348570 28.997436 nan 29.359958 nan nan
8 14.592522 nan 14.702672 nan 13.982662 14.211648 14.479063 nan 15.201653 nan nan
16 7.645522 nan 7.931532 nan 6.989719 7.436553 7.523868 nan 8.300848 nan nan
32 4.305046 nan 27.907068 nan 28.102302 4.093072 33.400522 nan 4.991683 nan nan
64 2.400394 nan 18.629747 nan 20.322567 2.487551 28.318141 nan 3.789152 nan nan
128 18.567725 nan 16.846857 nan 16.496708 49.199878 25.679032 nan 3.080203 nan nan
256 15.650861 nan 16.268891 nan 15.548141 47.645908 24.494836 nan 2.871813 nan nan
512 14.253217 nan 20.957894 nan 20.687503 44.372474 23.633247 nan 2.944903 nan nan
1024 13.565101 nan 14.847598 nan 14.764385 43.756037 23.908421 nan 3.105049 nan nan
2048 13.313920 nan 16.306456 nan 16.244259 44.737308 25.690596 nan 3.404788 nan nan
4096 13.120349 nan 15.771660 nan 14.958597 45.275548 26.619924 nan 3.637221 nan nan
8192 13.070381 nan 16.379964 nan 16.443268 49.346783 27.314089 nan 4.022201 nan nan
16384 12.943546 nan 17.092788 nan 17.103404 49.696380 23.762226 nan 4.253318 nan nan
32768 12.982391 nan 15.633878 nan 18.211632 48.918336 26.975377 nan 4.653753 nan nan
65536 12.931914 nan 23.971653 nan 23.722571 48.277930 28.056578 nan 5.227069 nan nan
131072 12.926000 nan 43.349292 nan 38.564578 48.107094 29.964724 nan 5.831820 nan nan
262144 13.916700 nan 56.840684 nan 60.358215 47.426846 28.803011 nan 6.540103 nan nan
524288 13.659771 nan 35.655071 nan 43.358074 47.077374 29.307688 nan 7.165480 0 nan
1048576 13.313119 nan 39.039643 nan 37.612965 50.745527 33.963915 nan 7.722829 0 nan
2097152 14.442894 nan 32.631490 nan 31.582435 50.542247 45.277804 nan 8.093278 0 nan
4194304 16.845428 nan 34.843942 nan 39.461737 53.760001 53.821682 nan 9.397047 0 nan
